county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13187""","""Lumpkin""","""""",12.00,32402.00,11570.00,181080.94,58,70,49,27,34,22,31,36,26,10.42,1.21,2.08,2,2,25105,24391,25475,0,0,0,16090,14956,16434,12421,11390,12710,3661,3558,3715,9,8,9,11,10,11,1.0,1.7,0.17,0.06,3812,69,3502,85,157,10,3759,1172,1249,904,75,25
"""13189""","""McDuffie""","""Augusta-Richmond County, GA-SC""",18.00,21455.00,8153.00,164774.11,50,60,43,21,27,18,29,33,25,9.07,1.56,1.99,2,2,23108,22290,23345,0,0,0,15282,14124,15552,11906,10867,12142,3370,3252,3405,6,6,6,8,8,7,1.7,0.9,0.34,0.05,2405,65,2294,87,105,9,3692,954,1041,703,65,35
"""13191""","""McIntosh""","""Brunswick, GA""",10.00,14174.00,6042.00,276066.19,58,70,48,28,34,22,31,36,26,8.97,0.99,2.02,2,2,23914,23300,24983,0,0,0,15586,14430,16296,12092,11024,12645,3487,3399,3643,6,6,7,8,8,8,1.8,1.0,0.52,0.02,1709,58,1169,86,138,7,4097,1165,1242,784,86,14
"""13193""","""Macon""","""""",13.00,13305.00,4696.00,256423.31,70,85,40,29,36,15,41,49,25,8.56,0.90,1.79,2,2,20660,19647,23625,0,0,0,13155,12510,15762,10136,9639,12311,3014,2866,3445,5,5,5,6,6,7,1.8,0.4,0.43,0.02,1657,59,1523,87,155,6,3851,774,896,453,71,29
"""13195""","""Madison""","""Athens-Clarke County, GA""",16.00,29218.00,10744.00,180687.13,57,69,44,24,30,18,33,38,26,10.22,0.89,2.02,2,2,23762,23086,24835,0,0,0,15569,14435,16338,12096,11059,12707,3465,3368,3622,8,8,9,10,10,11,1.9,1.4,0.18,0.06,3188,68,2871,86,130,14,2990,959,1050,690,77,23
"""13197""","""Marion""","""Columbus, GA-AL""",5.00,8432.00,3408.00,234250.46,61,72,47,26,33,20,34,39,27,10.60,0.18,2.08,2,2,26067,25325,27007,0,0,0,16268,15020,17042,12460,11320,13097,3801,3694,3939,6,6,7,8,8,8,1.5,0.4,0.20,0.01,1869,54,1357,88,320,6,4054,1044,1199,488,83,17
"""13199""","""Meriwether""","""Atlanta-Sandy Springs-Alpharetta, GA""",20.00,21106.00,8051.00,320782.45,41,50,44,17,21,18,24,29,26,9.33,0.82,2.13,2,2,25509,24927,24909,0,0,0,16457,15951,16119,12729,12309,12480,3720,3635,3632,7,7,7,9,9,9,1.0,1.3,0.22,0.03,2362,73,2234,86,200,5,3726,962,1085,601,74,26
"""13201""","""Miller""","""""",5.00,5787.00,2333.00,180750.34,59,72,45,25,31,18,34,41,27,10.68,0.24,2.00,2,2,25655,24890,27484,0,0,0,15106,14539,16847,11358,10904,12833,3743,3631,4008,5,5,5,6,6,7,0.6,0.6,0.32,0.01,1363,72,1191,87,349,3,4668,928,1074,631,71,29
"""13205""","""Mitchell""","""""",17.00,22244.00,7982.00,327780.60,66,81,43,29,36,17,37,45,26,9.50,0.90,1.91,2,2,23545,22553,25659,0,0,0,14271,13649,16273,10831,10354,12526,3435,3290,3742,5,5,5,6,6,6,1.1,0.4,0.73,0.02,1600,63,1466,88,277,5,4261,914,1028,621,66,34
"""13207""","""Monroe""","""Macon-Bibb County, GA""",14.00,27171.00,9760.00,253207.40,70,86,52,36,45,25,34,41,27,10.47,0.61,2.05,2,2,24996,24280,26034,0,0,0,15263,14710,16749,11609,11161,12944,3646,3542,3797,8,7,8,10,9,10,1.2,1.4,0.33,0.04,2936,71,2989,86,227,8,4209,1315,1463,564,82,18
